name,country,matches,innings,no,runs,highest,average,balls,strikerate,hunderd,fifty,duck,year
MS Atapattu,SL,25,25,2,879,118,38.21,1344,65.4,1,6,2,1997
AC Gilchrist,AUS,21,21,1,879,172,43.95,788,111.54,1,5,2,2004
AB de Villiers,SA,16,16,4,879,136*,73.25,768,114.45,2,6,0,2014
ML Hayden,AUS,21,20,4,878,146,54.87,1069,82.13,1,6,0,2002
RR Sarwan,WI,20,19,4,878,102*,58.53,1078,81.44,1,5,0,2002
DR Martyn,AUS,26,23,8,878,101*,58.53,1067,82.28,2,8,3,2003
LPC Silva,SL,23,22,3,878,107*,46.21,1150,76.34,1,8,1,2007
HH Dippenaar,SA,26,25,3,875,93,39.77,1340,65.29,0,7,2,2002
Fakhar Zaman,PAK,17,17,4,875,210*,67.3,907,96.47,2,6,2,2018
SD Hope,WI,18,18,5,875,146*,67.3,1173,74.59,3,3,3,2018
Saeed Anwar,PAK,26,26,1,874,105*,34.96,1169,74.76,2,1,0,2000
Inzamam-ul-Haq,PAK,23,22,6,874,81*,54.62,972,89.91,0,9,1,2005
JE Root,ENG,23,22,2,872,113,43.6,1113,78.34,3,3,1,2014
Babar Azam,PAK,18,17,4,872,125*,67.07,1100,79.27,4,2,0,2017
V Sehwag,INDIA,27,27,0,871,130,32.25,1021,85.3,2,3,2,2003
MJ Clarke,AUS,23,23,3,868,100*,43.4,1249,69.49,1,8,1,2009
Shahid Afridi,PAK,35,35,2,867,72,26.27,813,106.64,0,6,3,1997
ME Trescothick,ENG,25,25,2,867,114*,37.69,1078,80.42,2,6,3,2003
Imrul Kayes,BDESH,27,27,0,867,101,32.11,1291,67.15,1,6,0,2010
Rameez Raja,PAK,26,26,2,865,119*,36.04,1434,60.32,2,5,3,1992
Younis Khan,PAK,18,17,1,865,123*,54.06,890,97.19,3,6,2,2008
KC Sangakkara,SL,14,13,3,862,124,86.2,838,102.86,5,2,0,2015
HM Amla,SA,18,18,1,862,154,50.7,975,88.41,3,4,0,2017
Salman Butt,PAK,19,19,2,861,136,50.64,1007,85.5,3,4,3,2008
HDRL Thirimanne,SL,25,24,4,861,139*,43.05,1121,76.8,1,6,1,2015
ST Jayasuriya,SL,25,25,3,860,122,39.09,1002,85.82,3,3,3,2003
CJ Chibhabha,ZIM,27,27,1,859,99,33.03,1146,74.95,0,6,1,2015
Q de Kock,SA,17,17,2,857,178,57.13,789,108.61,3,3,0,2016
L Klusener,SA,27,24,15,854,103*,94.88,837,102.03,2,4,2,1999
A Flower,ZIM,26,25,3,852,99*,38.72,1062,80.22,0,9,5,1999
NV Knight,ENG,24,24,2,852,111*,38.72,1090,78.16,2,5,3,2002
RP Arnold,SL,34,29,8,851,91*,40.52,1093,77.85,0,8,3,2001
CD McMillan,NZ,28,28,0,851,105,30.39,1140,74.64,1,5,2,2002
GD Elliott,NZ,27,24,5,850,104*,44.73,822,103.4,1,4,1,2015
Yuvraj Singh,INDIA,22,21,5,849,107*,53.06,961,88.34,2,5,2,2006
JH Kallis,SA,19,17,2,848,107,56.53,1155,73.41,2,5,0,2001
SB Styris,NZ,24,21,6,848,111*,56.53,1013,83.71,1,6,1,2007
G Gambhir,INDIA,27,23,2,848,150*,40.38,916,92.57,2,5,2,2009
CL White,AUS,25,23,4,848,105,44.63,1004,84.46,1,6,1,2010
Saeed Anwar,PAK,28,28,3,846,104*,33.84,1213,69.74,1,4,3,1994
HH Gibbs,SA,21,21,0,846,125,40.28,975,86.76,3,3,0,2001
DPMD Jayawardene,SL,27,27,1,846,118,32.53,1032,81.97,1,6,1,2014
NJ Astle,NZ,25,23,1,845,104,38.4,1124,75.17,1,6,2,2000
LD Chandimal,SL,30,29,5,845,92*,35.2,1136,74.38,0,7,4,2012
GW Flower,ZIM,22,22,1,843,90,40.14,1165,72.36,0,9,1,1997
SR Tendulkar,INDIA,22,22,2,843,186*,42.15,951,88.64,3,1,4,1999
Yuvraj Singh,INDIA,31,28,0,841,139,30.03,927,90.72,1,5,1,2004
A Ranatunga,SL,22,21,4,840,101*,49.41,974,86.24,1,6,1,1994
